uuid,content,label,article_type,source_type,pre_post_GPT,dataset_source,text_length
c5e8536e-a10a-4d49-88e6-3067dc384e83,"It may sound like a gimmick, but UBI is an idea that's been championed by great American thinkers of all political persuasions for centuries. Today, it is more than an idea, it's the solution to the fundamental problems of the 21st century. That's why I'm running for President. https://t.co/EfQv00Ctk7",real,twitter post,human,pre-GPT,x-Gen,61
20aba8be-563d-4a6b-806e-98f7a6a1a6de,"19% of WVians rely on SNAP, but proposed changes would take food assistance from those struggling to find stable employment while doing nothing to help them to become permanently employed. I'm urging @USDA Sec Sonny Perdue to withdraw the proposal. MORE: https://t.co/cRln5zNudh",real,twitter post,human,pre-GPT,x-Gen,51
de4115a8-dad3-483b-9fb2-8f23c468eee6,"There would be bipartisan support for a serious, targeted infrastructure plan. Unfortunately, less than 6% of this massive White House proposal would go to roads and bridges. It would spend more on electric cars than on roads, bridges, ports, airports, and waterways combined. https://t.co/WjIvBSwpsg",fake,twitter post,human,pre-GPT,x-Gen,56
52fd5755-b172-467e-894d-54e66b9e3575,"I asked @realDonaldTrump:""Would you as president want to recognize #Crimea as Russian, lift sanctions?"" - ""Yes we would be looking at that""",real,twitter post,human,pre-GPT,x-Gen,32
dd2edf3b-798f-4890-8f5e-e51337872e88,"I am angry. 

The American people are right to be angry. 

We need observers. 

Now. https://t.co/c8pnMj2jdf",fake,twitter post,human,pre-GPT,x-Gen,22
a8e26cd3-4b9e-4898-9482-1dee9be0974e,"I'm focused on solving the problems facing Virginians.

I don’t accept a dime of corporate PAC money — so our campaign is a grassroots effort that relies on people like you to keep us going. Join us!

https://t.co/dbUuT7HvL2",real,twitter post,human,pre-GPT,x-Gen,46
95eca9a0-7555-406c-8aad-56e72418a7c0,"More than 5M mail-in ballots have been cast by voters of both parties in the 4 elections since our bipartisan mail-in voting law was signed in 2019.

More Republicans voted for this law than Democrats.

These are facts.

We’ll appeal to restore Act 77 and protect mail-in voting.",fake,twitter post,human,pre-GPT,x-Gen,54
5e29a3fd-5158-4c59-9a46-878218767e9a,Russia’s claim of genocide in Ukraine is a reprehensible falsehood.  The SMM has complete access to the government controlled areas of Ukraine and HAS NEVER reported anything remotely resembling Russia’s claims.  Read the publicly available reports. https://t.co/0KczWsQoEJ,fake,twitter post,human,pre-GPT,x-Gen,46
d3438e0e-6d54-4733-99e8-d7843ae796f8,"""Those must've have been the ones you know they bought from the mob or something. I'm kidding. I'm kidding. Although there is an allegation about a mobster but I think it's a far fetched one,"" Rudy Giuliani on Fox Business, arguing elections ""cheating"" happened in some cities. https://t.co/gHgcMV383A",fake,twitter post,human,pre-GPT,x-Gen,64
007e6207-55e6-41f8-90ac-c244157e1c14,Ok @RCFOX4KC nominated me.I'm nominating @seanhannity @WayneDupreeShow &amp; my brother @Fiobaio @the_USO #Flex4Forces https://t.co/2V2l1bnuix,fake,twitter post,human,pre-GPT,x-Gen,25
da371e11-8639-47a0-98bc-f48d617bc76f,We have 5% of world population. 80% of opioids.  https://t.co/7nxfOCvJup. Time to get to the bottom of it.,fake,twitter post,human,pre-GPT,x-Gen,26
ccfa0957-f637-4a03-8015-33fd4f8e89c2,"26% of ACA marketplace enrollees are 18-34, the same as last year. You'd expect that number to go down in an insurance ""death spiral.""",fake,twitter post,human,pre-GPT,x-Gen,31
4425bcf0-c972-47a2-8c3c-1bc0c09caff1,"They just happened to find 50,000 ballots late last night. The USA is embarrassed by fools. Our Election Process is worse than that of third world countries!",fake,twitter post,human,pre-GPT,x-Gen,30
b4f92a10-17b8-4c95-ad9e-43a06cf6ebd9,Clarification: Only 18% of Portland ELEMENTARY SCHOOLS have art instruction compared to 83% nationally. More info: http://t.co/DBysOVl3,real,twitter post,human,pre-GPT,x-Gen,24
a9f782c6-a65b-4271-8177-5097d2043d77,"The White House removed its climate change web page. And the healthcare, civil rights and LGBT sections. Just thought you should know.",real,twitter post,human,pre-GPT,x-Gen,26
8f6a648d-75dc-47c5-889f-e5cb5c8642d7,I hear everyone talking about how we all want to overturn Citizens United because we want to end unlimited spending. Everyone on this stage except Amy and me is a billionaire or receiving help from Super PACs. Time to put your money where your mouth is. #DemDebate,real,twitter post,human,pre-GPT,x-Gen,51
671729bf-6c8f-42f1-97a7-61a5aeec83c9,"Incendio industrial en una fábrica de compostaje en #ParacuellosdelJarama.

Un rayo ha provocado el incendio de un gran amontonamiento de ramas, restos de árboles y de vegetación. 

Rápidamente se ha propagado al resto de montones que alcanzan hasta los 10 metros de altura. https://t.co/rvsP9Veh2F",fake,twitter post,human,pre-GPT,x-Gen,51
3003bca6-3bc3-4569-8b63-865f29e2a3ec,"The ""tax plan"" rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for)",real,twitter post,human,pre-GPT,x-Gen,30
60eb23ae-70b1-46af-9ddf-a0acdd45a958,"Medicaid expansion, Obamacare, teacher bonuses who is this guy?",real,twitter post,human,pre-GPT,x-Gen,12
afbb6c64-b35a-480f-8c9a-590e0003634a,Nearly 6 out of 10 believe that money and wealth should be more evenly distributed among a larger percentage of the people in the US.,real,twitter post,human,pre-GPT,x-Gen,26
d1d01fd8-1b6c-4d1b-9775-dab22fe71483,"Billions of dollars are sent to the State of California for Forest fires that, with proper Forest Management, would never happen. Unless they get their act together, which is unlikely, I have ordered FEMA to send no more money. It is a disgraceful situation in lives &amp; money!",fake,twitter post,human,pre-GPT,x-Gen,57
b47bf997-7ec4-41c3-976a-0e9a2c483484,I was too innocent and too GAY to deserve a Pardon from Trump. I only mattered to Don Jr. when he needed to make a comment about me to boost his social media post. Boy were we all stupid to believe he actually stood for Equal Justice? His corrupt friends all come first. https://t.co/ysGfwnqlHi,fake,twitter post,human,pre-GPT,x-Gen,60
cd5cebac-c649-4157-b9af-323e99b7850e,Preps for Biden inaugural... you can hear the band playing on WH grounds. https://t.co/8tBdFy1cDS,fake,twitter post,human,pre-GPT,x-Gen,18
66d41aa2-68c3-4cca-8b21-22bb870b2274,"Flu season is coming up! Many people every year, sometimes over 100,000, and despite the Vaccine, die from the Flu. Are we going to close down our Country? No, we have learned to live with it, just like we are learning to live with Covid, in most populations far less lethal!!!",fake,twitter post,human,pre-GPT,x-Gen,63
6853da45-4ee3-4755-a5f9-16b4dafaf6b0,Kicking off Philly's first Immigrant Business Week! Immigrants are responsible for 96% of our small biz growth since 2000. #PHLimmigrantbiz https://t.co/y8FYI8FUCU,fake,twitter post,human,pre-GPT,x-Gen,28
d8d91f52-94e0-4f98-9816-8d0d5bd06d7c,"For the first time in our state’s history, the Pride flag has been raised at our State Capitol!! https://t.co/j37udcMTZ9",fake,twitter post,human,pre-GPT,x-Gen,26
88c7633e-2bda-4506-b4b8-17c1968ffa5f,"The home health care industry tells the story of the American economy. Plenty of jobs but they don't pay enough. Need higher min wage and expanded EITC. Most of home care is paid by government programs, which don't pay enough (warning for single payor!) https://t.co/Mq431vHVsq",real,twitter post,human,pre-GPT,x-Gen,56
4b517ce3-4f70-4b63-9645-daa9a8bfc8e7,"In 99% of counties in America, someone making the minimum wage working full time can’t afford a 1-bedroom apartment. That is outrageous.
 
I've just introduced the Rent Relief Act, so that Americans who spend over 30% of their income on rent can get a portion of that money back.",real,twitter post,human,pre-GPT,x-Gen,59
25aa821f-61a5-467d-8361-9c19519d0b7c,"....good practice.” As you saw last night, they were very cool &amp; very professional. Never let it get out of hand. Thank you! On the bad side, the D.C. Mayor, @MurielBowser, who is always looking for money &amp; help, wouldn’t let the D.C. Police get involved. “Not their job.” Nice!",fake,twitter post,human,pre-GPT,x-Gen,71
78f7704d-d894-40f7-9c3c-12cb3fc97ed7,"Help us stop a false report
Someone posted pictures on the web showing empty Vote-by-Mail envelopes from Sonoma County in recycling bins. The pictures are of old empty envelopes from the November 2018 election that were disposed of as allowed by law. https://t.co/0FrhnD3jHg",fake,twitter post,human,pre-GPT,x-Gen,47
0406b0ee-2f32-4391-9a7d-126f76b31c23,"The Biden-Harris caravan is the population of Minneapolis and will enter our country with no vetting, no criminal background checks, no COVID testing, and no vaccine requirements. https://t.co/63e5dOUfxI",fake,twitter post,human,pre-GPT,x-Gen,34
b6bf7548-ec53-4106-a006-69999cc06e18,"Could somebody please explain to the Democrats (we need their votes) that our Country losses 250 Billion Dollars a year on illegal immigration, not including the terrible drug flow. Top Border Security, including a Wall, is $25 Billion. Pays for itself in two months. Get it done!",fake,twitter post,human,pre-GPT,x-Gen,57
cf4e9429-d0c1-4af6-a7eb-29dfda4d2c06,"They wore Auschwitz shirts, erected gallows, and tried to hang the Vice President.

Your continued excusal and denial of Wednesday’s Neo-Nazi presence is abhorrent and dangerous.

The most healing and unifying thing *you* can do is take responsibility for your actions and resign. https://t.co/TlhLkkLPJy",fake,twitter post,human,pre-GPT,x-Gen,55
f85d5664-d8b8-4f2c-bc8b-6f4c486d39cd,"In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants. No wonder so many people are leaving N.Y. Very Sad!",real,twitter post,human,pre-GPT,x-Gen,35
ddc0b3ab-8f0e-4981-b08b-f34609d0a93e,THREAD: Another @SecretaryZinke whopper: “This is the largest investment in public lands infrastructure in our nation’s history.” https://t.co/EPXXhQ7AUw,fake,twitter post,human,pre-GPT,x-Gen,27
b064d72f-d0ba-4825-b282-ab6ced8af75b,Thom Tillis yet again voted to support Trump’s irresponsible emergency declaration — even though he knows it will allow the administration to raid $80 million from North Carolina. Tillis’ vote is putting military communities in harm’s way.,real,twitter post,human,pre-GPT,x-Gen,45
17e1e976-c087-46ed-ab48-6433f86f91ea,"It’s not Obama’s fault and it’s not Trump’s fault. We have stringent FDA regulations, long in place, that created barriers to the private industry creating a test quickly.  

This obsession with scoring political points is downright gross. https://t.co/NvTptK3utT",real,twitter post,human,pre-GPT,x-Gen,53
ad28285a-6e87-4e7e-9032-79173389532b,"In 30 states, average teacher pay is less than the living wage for a family of four. The teacher pay gap is a national crisis. Sign your name next to mine if you agree:  
https://t.co/qiTuiwf9ri",real,twitter post,human,pre-GPT,x-Gen,41
9afbbb6b-0b90-4195-a5fb-7db89394d906,"Fox News incorrectly uses ""forged"" while the Gateway Pundit inexplicably puts 'signature' in single quotes in their headline. 

Both using their headlines to purposefully misrepresent the actual story https://t.co/jtpRUzWyBA",fake,twitter post,human,pre-GPT,x-Gen,35
a35c3794-80ee-4d83-ae0b-6bf65a44fd7c,"1/ THREAD: Harvard rescinded my acceptance. 

Three months after being admitted to Harvard Class of 2023, Harvard has decided to rescind my admission over texts and comments made nearly two years ago, months prior to the shooting.

I have some thoughts. Here’s what happened.",fake,twitter post,human,pre-GPT,x-Gen,53
61e39a65-fa80-46e2-a4f8-c3312821c6cf,@EricTrump Those were sample ballots. Addressed this yesterday. https://t.co/yprxQ7Icqn.,fake,twitter post,human,pre-GPT,x-Gen,15
203662b8-5c8b-4581-93e0-626f077f1dcd,"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",fake,twitter post,human,pre-GPT,x-Gen,25
acb518da-80ed-44cb-aac6-7e4df4df9796,"Democrats mistakenly tweet 2014 pictures from Obama’s term showing children from the Border in steel cages. They thought it was recent pictures in order to make us look bad, but backfires. Dems must agree to Wall and new Border Protection for good of country...Bipartisan Bill!",real,twitter post,human,pre-GPT,x-Gen,53
84242f19-ad3d-45fd-afdf-9c02163f30af,"This is why we took bold action with our Safer at Home plan to keep Wisconsinites safe and healthy.  It's working.  We have flattened the curve here in Wisconsin and have prevented the death of at least 300 Wisconsinites, and perhaps as many as 1400 lives.",real,twitter post,human,pre-GPT,x-Gen,51
d556da3d-9fc2-47c0-8f9c-076a64233524,"Yesterday, Wisconsin reported 1,062 positive COVID cases.

Today, 34 percent of Wisconsin renters are at risk of eviction. 

Last week, more than 400,000 Wisconsinites reported they didn't get enough to eat.

Ron Johnson doesn't get it. It doesn't even compute for him. https://t.co/wpf4tvkI09",real,twitter post,human,pre-GPT,x-Gen,56
403af9a6-9e7a-4f69-8194-7b67676428c3,CBO reports that delaying the Obamacare individual mandate will reduce the deficit by $35 billion over ten years. Another good reason.,real,twitter post,human,pre-GPT,x-Gen,24
5a20fbb1-ba5b-4679-abae-352b72271fa8,"Members of our military have already given so much. Raiding money from their pensions to fund the President’s wasteful vanity project is outrageous. Our servicemembers deserve better. 
https://t.co/xIzR0MyCii",fake,twitter post,human,pre-GPT,x-Gen,35
87d21012-38c3-47fb-b765-9cdc991f992c,"Rep. Adam Schiff illegally made up a FAKE &amp; terrible statement, pretended it to be mine as the most important part of my call to the Ukrainian President, and read it aloud to Congress and the American people. It bore NO relationship to what I said on the call. Arrest for Treason?",fake,twitter post,human,pre-GPT,x-Gen,59
aea27b52-5986-4d4d-9db2-07ca51751aa4,"Did you know: in the last 10 years less than half of adults in the US received a flu shot? This flu season I hope you will consider getting your flu vaccination, despite all of the social distancing measures that are in place around the country.",real,twitter post,human,pre-GPT,x-Gen,50
b2c50b24-8409-47df-a6b1-90962ba1b56d,"Dow goes from 18,589 on November 9, 2016, to 25,075 today, for a new all-time Record. Jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history. This is all about the Make America Great Again agenda! Jobs, Jobs, Jobs. Six trillion dollars in value created!",real,twitter post,human,pre-GPT,x-Gen,60
a7608a36-0a55-4c4d-8752-526fc8a4735a,"Jeanine Pirro: ""And my stats that I have are that there are 63 million abortions a year in this country. Those are the stats that I heard! That's a little too much!""

Maybe because those are the estimated abortions total since Roe v. Wade passed in 1973! https://t.co/PCRy7USP9F",fake,twitter post,human,pre-GPT,x-Gen,58
a4a99a4e-210f-43b0-ab31-d2849cb6c267,"Just your weekly reminder that Ron DeSantis still hasn't condemned the January 6 insurrection OR denounced the election Big Lie. 

Is it just me, or do you agree that his silence = endorsement?",fake,twitter post,human,pre-GPT,x-Gen,37
9685a623-74a0-400f-aab8-b0e33e5a72df,Obama lied to the American people. Again. He said it wasn't a tax. Obama lies; freedom dies.,real,twitter post,human,pre-GPT,x-Gen,23
c579fb81-4f78-4cc7-ba50-893ebda57b93,"In addition to winning the Electoral College in a landslide, I won the popular vote if you deduct the millions of people who voted illegally",fake,twitter post,human,pre-GPT,x-Gen,26
a97afbc1-8ff5-44a5-9dca-2c5adbb0709f,"This account regularly makes stuff up after tragedies. 

This guy has been a 9/11 first responder, had multiple nephews shot, etc. https://t.co/7OLsP1DqVX",fake,twitter post,human,pre-GPT,x-Gen,28
5b623075-aaa2-4738-afe1-e1810d669734,AP has deleted a tweet from late Wednesday on Trump’s “animals” comment about immigrants because it wasn’t made clear that he was speaking after a comment about gang members.,fake,twitter post,human,pre-GPT,x-Gen,36
e06177a9-d1ba-4ee8-afed-c5e2cbe39818,"Nancy Pelosi's bill for alcohol on her flights from Washington to San Fran every week? We pay for it. 1000 dollars. On average 52,000 Bucks, a year for BOOZE. Tax payer money. Thank you very much.",fake,twitter post,human,pre-GPT,x-Gen,44
411316a6-a9d7-433a-9115-d9b6d7075a5b,"After reading, in full, the House Intelligence Report, House Judiciary Report, the Articles of Impeachment, and hearing from constituents, I have decided to take the solemn step to vote to impeach the President for abusing the powers of his office for his own personal gain.",fake,twitter post,human,pre-GPT,x-Gen,52
8bc38503-7c41-4c58-94e6-8c1ea8f28be5,"New York needs 30,000 ventilators.

It will be the difference between life and death.

The federal government must provide these ventilators.
 
Only the federal government has the power to deliver.",fake,twitter post,human,pre-GPT,x-Gen,34
ce1a95a1-e03d-442b-884a-9ef6d182f9ac,"Little known fact: 
 
Not only did Pres. Trump release the Ukraine aid so late in the fiscal year, that we in Congress had to re-appropriate $35 million so it didn’t expire - but nearly half of that remains UNSPENT TO THIS DAY.
 
So, NO, the aid was not all “eventually released.”",real,twitter post,human,pre-GPT,x-Gen,63
1b4c703e-db5e-47ff-8cf6-ac9336672a05,"....Democrats talking point is that we are doing badly. If the virus disappeared tomorrow, they would say we did a really poor, and even incompetent, job. Not fair, but it is what it is. So far, by the way, we have not had one death. Let’s keep it that way!",real,twitter post,human,pre-GPT,x-Gen,64
42065e75-facf-44bf-9213-a6a7c51128c5,"A wildly out of context Biden clip is circulating on Twitter.

He spoke for 10+ minutes in NH about his history of work against domestic violence and sex assault, which he repeatedly described as a ""cultural problem"" he argued goes back to permissive English common law. 1/3",fake,twitter post,human,pre-GPT,x-Gen,52
f36fb0c2-922c-4db0-85eb-2c082b86e732,"Some 500,000  men and women have come back from Iraq and Afghanistan   with PTSD or TBI.",real,twitter post,human,pre-GPT,x-Gen,17
6878613e-0f5a-4105-be5d-3879362f3ccd,"Tear gas just deployed at 16th &amp; H Streets, police in riot gear &amp; on horseback pushed the crowd back to Connecticut Av #dcprotest https://t.co/LOd2UC5nmH",fake,twitter post,human,pre-GPT,x-Gen,33
b9fa4b0c-eaad-4cf3-9584-e37c65df3527,"Last night I was leading, often solidly, in many key States, in almost all instances Democrat run &amp; controlled. Then, one by one, they started to magically disappear as surprise ballot dumps were counted. VERY STRANGE, and the “pollsters” got it completely &amp; historically wrong!",fake,twitter post,human,pre-GPT,x-Gen,60
cfb00df6-ae2c-4a02-94f6-3af4713929ab,"Governor @GregAbbott_TX has lead education to a brighter future.

That’s why Texas’ public high school graduation rate is at 90% overall.  https://t.co/yrH2ER9Oeo",real,twitter post,human,pre-GPT,x-Gen,31
ab69fa79-b8a9-49ea-9c4d-22bada91549f,".@JulianaforLG and I have a vision for the future of Illinois: We see universal preschool, we see affordable college, and we see international companies coming to Illinois because of our workforce. Help us fulfill this vision and bring real leadership to Springfield in November. https://t.co/45lTJXyBSc",fake,twitter post,human,pre-GPT,x-Gen,54
